-50000.00 0.00 55559.75 2150.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1640.00 1487.2261  1035.2676 34.5932 2.4911
-50000.00 1650.00 1487.3376  1035.3166 34.5946 2.4768
-50000.00 1660.00 1487.4490  1035.3656 34.5961 2.4625
-50000.00 1670.00 1487.5605  1035.4146 34.5975 2.4482
-50000.00 1680.00 1487.6719  1035.4636 34.5990 2.4339
-50000.00 1690.00 1487.7834  1035.5126 34.6004 2.4196
-50000.00 1700.00 1487.8948  1035.5616 34.6018 2.4053
-50000.00 1710.00 1488.0063  1035.6106 34.6033 2.3910
-50000.00 1720.00 1488.1177  1035.6596 34.6047 2.3767
-50000.00 1730.00 1488.2292  1035.7086 34.6062 2.3624
-50000.00 1740.00 1488.3407  1035.7576 34.6076 2.3481
-50000.00 1750.00 1488.4521  1035.8066 34.6091 2.3337
-50000.00 1760.00 1488.5636  1035.8556 34.6105 2.3194
-50000.00 1770.00 1488.6795  1035.9044 34.6118 2.3062
-50000.00 1780.00 1488.8003  1035.9529 34.6130 2.2940
-50000.00 1790.00 1488.9211  1036.0013 34.6142 2.2818
-50000.00 1800.00 1489.0419  1036.0498 34.6153 2.2697
-50000.00 1810.00 1489.1627  1036.0982 34.6165 2.2575
-50000.00 1820.00 1489.2835  1036.1467 34.6177 2.2453
-50000.00 1830.00 1489.4042  1036.1952 34.6189 2.2332
-50000.00 1840.00 1489.5250  1036.2436 34.6200 2.2210
-50000.00 1850.00 1489.6458  1036.2921 34.6212 2.2088
-50000.00 1860.00 1489.7666  1036.3406 34.6224 2.1966
-50000.00 1870.00 1489.8874  1036.3890 34.6235 2.1845
-50000.00 1880.00 1490.0082  1036.4375 34.6247 2.1723
-50000.00 1890.00 1490.1289  1036.4860 34.6259 2.1601
-50000.00 1900.00 1490.2497  1036.5344 34.6271 2.1480
-50000.00 1910.00 1490.3705  1036.5829 34.6282 2.1358
-50000.00 1920.00 1490.4974  1036.6310 34.6293 2.1250
-50000.00 1930.00 1490.6288  1036.6789 34.6302 2.1152
-50000.00 1940.00 1490.7601  1036.7268 34.6311 2.1053
-50000.00 1950.00 1490.8914  1036.7747 34.6320 2.0955
-50000.00 1960.00 1491.0227  1036.8226 34.6330 2.0857
-50000.00 1970.00 1491.1540  1036.8705 34.6339 2.0759
-50000.00 1980.00 1491.2854  1036.9184 34.6348 2.0660
-50000.00 1990.00 1491.4167  1036.9663 34.6358 2.0562
-50000.00 2000.00 1491.5480  1037.0142 34.6367 2.0464
-50000.00 2010.00 1491.6793  1037.0621 34.6376 2.0366
-50000.00 2020.00 1491.8106  1037.1100 34.6385 2.0267
-50000.00 2030.00 1491.9419  1037.1579 34.6395 2.0169
-50000.00 2040.00 1492.0733  1037.2058 34.6404 2.0071
-50000.00 2050.00 1492.2046  1037.2537 34.6413 1.9973
-50000.00 2060.00 1492.3359  1037.3017 34.6422 1.9874
-50000.00 2070.00 1492.4672  1037.3496 34.6432 1.9776
-50000.00 2080.00 1492.5985  1037.3975 34.6441 1.9678
-50000.00 2090.00 1492.7362  1037.4450 34.6449 1.9594
-50000.00 2100.00 1492.8781  1037.4924 34.6456 1.9518
-50000.00 2110.00 1493.0201  1037.5397 34.6463 1.9443
-50000.00 2120.00 1493.1621  1037.5870 34.6470 1.9368
-50000.00 2130.00 1493.3040  1037.6344 34.6477 1.9293
-50000.00 2140.00 1493.4460  1037.6817 34.6485 1.9218
-50000.00 2150.00 1493.5879  1037.7291 34.6492 1.9143
-44973.35 0.00 1510.6413  1025.0333 34.2374 16.5755
-44973.35 10.00 1510.7152  1025.0838 34.2359 16.5446
-44973.35 20.00 1510.6387  1025.1441 34.2324 16.4651
-44973.35 30.00 1510.1736  1025.2288 34.2234 16.2611
-44973.35 40.00 1509.2173  1025.3437 34.2083 15.9019
-44973.35 50.00 1507.8522  1025.4820 34.1885 15.4172
-44973.35 60.00 1506.2749  1025.6295 34.1664 14.8727
-44973.35 70.00 1504.6700  1025.7745 34.1440 14.3274
-44973.35 80.00 1503.1695  1025.9090 34.1222 13.8216
-44973.35 90.00 1501.8304  1026.0300 34.1004 13.3712
-44973.35 100.00 1500.6593  1026.1380 34.0786 12.9763
-44973.35 110.00 1499.6630  1026.2351 34.0586 12.6367
-44973.35 120.00 1498.8136  1026.3251 34.0421 12.3420
-44973.35 130.00 1498.0220  1026.4141 34.0296 12.0650
-44973.35 140.00 1497.2155  1026.5067 34.0214 11.7838
-44973.35 150.00 1496.3684  1026.6115 34.0268 11.4888
-44973.35 160.00 1495.5417  1026.7248 34.0448 11.1969
-44973.35 170.00 1494.7316  1026.8451 34.0730 10.9077
-44973.35 180.00 1494.0345  1026.9703 34.1156 10.6480
-44973.35 190.00 1493.3730  1027.0969 34.1626 10.3977
-44973.35 200.00 1492.8139  1027.2180 34.2098 10.1774
-44973.35 210.00 1492.3468  1027.3339 34.2572 9.9843
-44973.35 220.00 1491.8797  1027.4499 34.3046 9.7911
-44973.35 230.00 1491.4871  1027.5509 34.3394 9.6247
-44973.35 240.00 1491.1223  1027.6464 34.3695 9.4683
-44973.35 250.00 1490.7575  1027.7419 34.3996 9.3118
-44973.35 260.00 1490.3851  1027.8326 34.4240 9.1559
-44973.35 270.00 1489.9907  1027.9093 34.4314 9.0018
-44973.35 280.00 1489.5963  1027.9859 34.4387 8.8476
-44973.35 290.00 1489.2019  1028.0625 34.4461 8.6935
-44973.35 300.00 1488.8070  1028.1391 34.4534 8.5393
-44973.35 310.00 1488.3504  1028.2050 34.4465 8.3765
-44973.35 320.00 1487.8937  1028.2709 34.4395 8.2137
-44973.35 330.00 1487.4371  1028.3367 34.4326 8.0510
-44973.35 340.00 1486.9804  1028.4026 34.4257 7.8882
-44973.35 350.00 1486.5238  1028.4685 34.4188 7.7254
-44973.35 360.00 1486.1140  1028.5283 34.4086 7.5792
-44973.35 370.00 1485.7076  1028.5877 34.3982 7.4341
-44973.35 380.00 1485.3012  1028.6471 34.3879 7.2890
-44973.35 390.00 1484.8948  1028.7065 34.3775 7.1439
-44973.35 400.00 1484.4885  1028.7658 34.3671 6.9988
-44973.35 410.00 1484.0832  1028.8252 34.3568 6.8540
-44973.35 420.00 1483.8327  1028.8801 34.3493 6.7504
-44973.35 430.00 1483.5823  1028.9349 34.3418 6.6468
-44973.35 440.00 1483.3318  1028.9898 34.3343 6.5432
-44973.35 450.00 1483.0814  1029.0447 34.3269 6.4395
-44973.35 460.00 1482.8310  1029.0995 34.3194 6.3359
-44973.35 470.00 1482.5805  1029.1544 34.3119 6.2323
-44973.35 480.00 1482.3660  1029.2088 34.3055 6.1377
-44973.35 490.00 1482.2576  1029.2617 34.3024 6.0697
-44973.35 500.00 1482.1492  1029.3146 34.2992 6.0017
-44973.35 510.00 1482.0408  1029.3675 34.2960 5.9337
-44973.35 520.00 1481.9324  1029.4204 34.2928 5.8657
-44973.35 530.00 1481.8240  1029.4734 34.2896 5.7977
-44973.35 540.00 1481.7156  1029.5263 34.2864 5.7297
-44973.35 550.00 1481.6072  1029.5792 34.2832 5.6617
-44973.35 560.00 1481.5495  1029.6321 34.2823 5.6060
-44973.35 570.00 1481.5105  1029.6851 34.2821 5.5550
-44973.35 580.00 1481.4716  1029.7380 34.2820 5.5039
-44973.35 590.00 1481.4327  1029.7909 34.2819 5.4528
-44973.35 600.00 1481.3938  1029.8438 34.2818 5.4017
-44973.35 610.00 1481.3549  1029.8968 34.2817 5.3506
-44973.35 620.00 1481.3160  1029.9497 34.2816 5.2995
-44973.35 630.00 1481.2771  1030.0026 34.2815 5.2484
-44973.35 640.00 1481.2494  1030.0559 34.2824 5.2000
-44973.35 650.00 1481.2318  1030.1096 34.2842 5.1540
-44973.35 660.00 1481.2142  1030.1633 34.2860 5.1080
-44973.35 670.00 1481.1965  1030.2170 34.2878 5.0620
-44973.35 680.00 1481.1789  1030.2706 34.2896 5.0160
-44973.35 690.00 1481.1613  1030.3243 34.2913 4.9700
-44973.35 700.00 1481.1437  1030.3780 34.2931 4.9240
-44973.35 710.00 1481.1261  1030.4316 34.2949 4.8780
-44973.35 720.00 1481.1085  1030.4853 34.2967 4.8320
-44973.35 730.00 1481.0975  1030.5396 34.2995 4.7876
-44973.35 740.00 1481.0886  1030.5940 34.3027 4.7436
-44973.35 750.00 1481.0796  1030.6484 34.3058 4.6997
-44973.35 760.00 1481.0707  1030.7028 34.3090 4.6558
-44973.35 770.00 1481.0618  1030.7572 34.3122 4.6119
-44973.35 780.00 1481.0529  1030.8117 34.3153 4.5679
-44973.35 790.00 1481.0440  1030.8661 34.3185 4.5240
-44973.35 800.00 1481.0351  1030.9205 34.3216 4.4801
-44973.35 810.00 1481.0261  1030.9749 34.3248 4.4362
-44973.35 820.00 1481.0255  1031.0296 34.3286 4.3942
-44973.35 830.00 1481.0314  1031.0844 34.3329 4.3538
-44973.35 840.00 1481.0374  1031.1392 34.3372 4.3135
-44973.35 850.00 1481.0434  1031.1940 34.3416 4.2731
-44973.35 860.00 1481.0494  1031.2489 34.3459 4.2328
-44973.35 870.00 1481.0554  1031.3037 34.3502 4.1924
-44973.35 880.00 1481.0613  1031.3585 34.3545 4.1521
-44973.35 890.00 1481.0673  1031.4134 34.3588 4.1117
-44973.35 900.00 1481.0733  1031.4682 34.3632 4.0714
-44973.35 910.00 1481.0801  1031.5230 34.3675 4.0312
-44973.35 920.00 1481.1152  1031.5773 34.3723 3.9979
-44973.35 930.00 1481.1504  1031.6316 34.3772 3.9645
-44973.35 940.00 1481.1856  1031.6860 34.3821 3.9312
-44973.35 950.00 1481.2208  1031.7403 34.3869 3.8979
-44973.35 960.00 1481.2560  1031.7946 34.3918 3.8646
-44973.35 970.00 1481.2912  1031.8489 34.3966 3.8313
-44973.35 980.00 1481.3264  1031.9033 34.4015 3.7980
-44973.35 990.00 1481.3616  1031.9576 34.4064 3.7646
-44973.35 1000.00 1481.3968  1032.0119 34.4112 3.7313
-44973.35 1010.00 1481.4409  1032.0659 34.4160 3.7002
