-50000.00 0.00 55559.75 2000.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-44973.35 340.00 1487.2957  1028.3964 34.4338 7.9684
-44973.35 350.00 1486.8312  1028.4633 34.4275 7.8030
-44973.35 360.00 1486.4137  1028.5236 34.4173 7.6545
-44973.35 370.00 1485.9997  1028.5833 34.4069 7.5072
-44973.35 380.00 1485.5856  1028.6431 34.3964 7.3598
-44973.35 390.00 1485.1716  1028.7029 34.3860 7.2125
-44973.35 400.00 1484.7575  1028.7627 34.3756 7.0652
-44973.35 410.00 1484.3446  1028.8224 34.3651 6.9182
-44973.35 420.00 1484.0838  1028.8775 34.3574 6.8119
-44973.35 430.00 1483.8230  1028.9326 34.3497 6.7055
-44973.35 440.00 1483.5622  1028.9877 34.3419 6.5992
-44973.35 450.00 1483.3013  1029.0428 34.3342 6.4929
-44973.35 460.00 1483.0405  1029.0978 34.3265 6.3866
-44973.35 470.00 1482.7797  1029.1529 34.3187 6.2803
-44973.35 480.00 1482.5555  1029.2075 34.3121 6.1832
-44973.35 490.00 1482.4391  1029.2606 34.3087 6.1132
-44973.35 500.00 1482.3227  1029.3136 34.3053 6.0432
-44973.35 510.00 1482.2063  1029.3666 34.3019 5.9732
-44973.35 520.00 1482.0899  1029.4197 34.2984 5.9032
-44973.35 530.00 1481.9735  1029.4727 34.2950 5.8332
-44973.35 540.00 1481.8572  1029.5258 34.2916 5.7633
-44973.35 550.00 1481.7408  1029.5788 34.2882 5.6933
-44973.35 560.00 1481.6782  1029.6318 34.2872 5.6364
-44973.35 570.00 1481.6357  1029.6848 34.2870 5.5844
-44973.35 580.00 1481.5931  1029.7378 34.2868 5.5324
-44973.35 590.00 1481.5506  1029.7908 34.2866 5.4804
-44973.35 600.00 1481.5081  1029.8438 34.2865 5.4284
-44973.35 610.00 1481.4655  1029.8968 34.2863 5.3764
-44973.35 620.00 1481.4230  1029.9498 34.2861 5.3245
-44973.35 630.00 1481.3804  1030.0028 34.2859 5.2725
-44973.35 640.00 1481.3500  1030.0562 34.2868 5.2233
-44973.35 650.00 1481.3303  1030.1100 34.2886 5.1768
-44973.35 660.00 1481.3107  1030.1638 34.2904 5.1303
-44973.35 670.00 1481.2911  1030.2176 34.2923 5.0837
-44973.35 680.00 1481.2715  1030.2713 34.2941 5.0372
-44973.35 690.00 1481.2518  1030.3251 34.2959 4.9907
-44973.35 700.00 1481.2322  1030.3789 34.2977 4.9441
-44973.35 710.00 1481.2126  1030.4327 34.2996 4.8976
-44973.35 720.00 1481.1929  1030.4864 34.3014 4.8511
-44973.35 730.00 1481.1799  1030.5408 34.3043 4.8061
-44973.35 740.00 1481.1688  1030.5954 34.3076 4.7616
-44973.35 750.00 1481.1578  1030.6500 34.3109 4.7171
-44973.35 760.00 1481.1468  1030.7046 34.3142 4.6726
-44973.35 770.00 1481.1358  1030.7592 34.3174 4.6281
-44973.35 780.00 1481.1248  1030.8138 34.3207 4.5836
-44973.35 790.00 1481.1138  1030.8684 34.3240 4.5391
-44973.35 800.00 1481.1028  1030.9229 34.3273 4.4947
-44973.35 810.00 1481.0917  1030.9775 34.3305 4.4502
-44973.35 820.00 1481.0901  1031.0323 34.3344 4.4079
-44973.35 830.00 1481.0960  1031.0872 34.3389 4.3675
-44973.35 840.00 1481.1020  1031.1421 34.3433 4.3271
-44973.35 850.00 1481.1079  1031.1971 34.3477 4.2867
-44973.35 860.00 1481.1139  1031.2520 34.3521 4.2463
-44973.35 870.00 1481.1198  1031.3069 34.3566 4.2059
-44973.35 880.00 1481.1257  1031.3618 34.3610 4.1655
-44973.35 890.00 1481.1317  1031.4167 34.3654 4.1251
-44973.35 900.00 1481.1376  1031.4716 34.3698 4.0847
-44973.35 910.00 1481.1444  1031.5265 34.3742 4.0444
-44973.35 920.00 1481.1815  1031.5808 34.3791 4.0116
-44973.35 930.00 1481.2186  1031.6350 34.3839 3.9787
-44973.35 940.00 1481.2557  1031.6893 34.3887 3.9458
-44973.35 950.00 1481.2928  1031.7435 34.3936 3.9130
-44973.35 960.00 1481.3299  1031.7977 34.3984 3.8801
-44973.35 970.00 1481.3670  1031.8520 34.4032 3.8472
-44973.35 980.00 1481.4041  1031.9062 34.4080 3.8144
-44973.35 990.00 1481.4412  1031.9605 34.4129 3.7815
-44973.35 1000.00 1481.4783  1032.0147 34.4177 3.7486
-44973.35 1010.00 1481.5238  1032.0686 34.4224 3.7178
-44973.35 1020.00 1481.5905  1032.1215 34.4267 3.6922
-44973.35 1030.00 1481.6572  1032.1744 34.4311 3.6666
-44973.35 1040.00 1481.7239  1032.2274 34.4355 3.6410
-44973.35 1050.00 1481.7905  1032.2803 34.4398 3.6154
-44973.35 1060.00 1481.8572  1032.3332 34.4442 3.5898
-44973.35 1070.00 1481.9239  1032.3861 34.4485 3.5642
-44973.35 1080.00 1481.9906  1032.4391 34.4529 3.5386
-44973.35 1090.00 1482.0573  1032.4920 34.4572 3.5130
-44973.35 1100.00 1482.1240  1032.5449 34.4616 3.4874
-44973.35 1110.00 1482.1974  1032.5974 34.4656 3.4635
-44973.35 1120.00 1482.2804  1032.6491 34.4692 3.4420
-44973.35 1130.00 1482.3634  1032.7008 34.4727 3.4206
-44973.35 1140.00 1482.4465  1032.7526 34.4762 3.3991
-44973.35 1150.00 1482.5295  1032.8043 34.4798 3.3776
-44973.35 1160.00 1482.6125  1032.8560 34.4833 3.3562
-44973.35 1170.00 1482.6956  1032.9078 34.4869 3.3347
-44973.35 1180.00 1482.7786  1032.9595 34.4904 3.3133
-44973.35 1190.00 1482.8616  1033.0112 34.4939 3.2918
-44973.35 1200.00 1482.9447  1033.0630 34.4975 3.2704
-44973.35 1210.00 1483.0311  1033.1143 34.5007 3.2498
-44973.35 1220.00 1483.1216  1033.1652 34.5035 3.2303
-44973.35 1230.00 1483.2122  1033.2161 34.5063 3.2109
-44973.35 1240.00 1483.3027  1033.2669 34.5091 3.1914
-44973.35 1250.00 1483.3933  1033.3178 34.5120 3.1720
-44973.35 1260.00 1483.4838  1033.3687 34.5148 3.1525
-44973.35 1270.00 1483.5744  1033.4196 34.5176 3.1330
-44973.35 1280.00 1483.6649  1033.4705 34.5204 3.1136
-44973.35 1290.00 1483.7555  1033.5213 34.5232 3.0941
-44973.35 1300.00 1483.8460  1033.5722 34.5260 3.0747
-44973.35 1310.00 1483.9383  1033.6229 34.5287 3.0557
-44973.35 1320.00 1484.0333  1033.6732 34.5310 3.0374
-44973.35 1330.00 1484.1283  1033.7235 34.5333 3.0191
-44973.35 1340.00 1484.2233  1033.7738 34.5356 3.0009
-44973.35 1350.00 1484.3183  1033.8241 34.5379 2.9826
-44973.35 1360.00 1484.4134  1033.8744 34.5403 2.9644
-44973.35 1370.00 1484.5084  1033.9247 34.5426 2.9461
-44973.35 1380.00 1484.6034  1033.9750 34.5449 2.9278
-44973.35 1390.00 1484.6984  1034.0253 34.5472 2.9096
-44973.35 1400.00 1484.7935  1034.0756 34.5495 2.8913
-44973.35 1410.00 1484.8888  1034.1259 34.5518 2.8731
-44973.35 1420.00 1484.9878  1034.1758 34.5538 2.8559
-44973.35 1430.00 1485.0867  1034.2256 34.5558 2.8386
-44973.35 1440.00 1485.1857  1034.2755 34.5577 2.8214
-44973.35 1450.00 1485.2846  1034.3254 34.5597 2.8041
-44973.35 1460.00 1485.3836  1034.3753 34.5617 2.7868
-44973.35 1470.00 1485.4825  1034.4252 34.5637 2.7696
-44973.35 1480.00 1485.5815  1034.4750 34.5656 2.7523
-44973.35 1490.00 1485.6804  1034.5249 34.5676 2.7351
-44973.35 1500.00 1485.7794  1034.5748 34.5696 2.7178
-44973.35 1510.00 1485.8783  1034.6247 34.5716 2.7006
-44973.35 1520.00 1485.9787  1034.6744 34.5735 2.6836
-44973.35 1530.00 1486.0825  1034.7239 34.5752 2.6676
-44973.35 1540.00 1486.1864  1034.7733 34.5769 2.6515
-44973.35 1550.00 1486.2902  1034.8228 34.5786 2.6354
-44973.35 1560.00 1486.3941  1034.8723 34.5803 2.6194
-44973.35 1570.00 1486.4979  1034.9217 34.5820 2.6033
