-50000.00 0.00 55559.75 2010.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-44973.35 1930.00 1490.6285  1036.6789 34.6302 2.1151
-44973.35 1940.00 1490.7598  1036.7268 34.6311 2.1053
-44973.35 1950.00 1490.8911  1036.7747 34.6321 2.0955
-44973.35 1960.00 1491.0224  1036.8226 34.6330 2.0857
-44973.35 1970.00 1491.1537  1036.8705 34.6339 2.0758
-44973.35 1980.00 1491.2851  1036.9184 34.6348 2.0660
-44973.35 1990.00 1491.4164  1036.9663 34.6358 2.0562
-44973.35 2000.00 1491.5477  1037.0142 34.6367 2.0464
-44973.35 2010.00 1491.6790  1037.0621 34.6376 2.0365
-39946.69 0.00 1510.7887  1025.0284 34.2450 16.6211
-39946.69 10.00 1510.8628  1025.0790 34.2435 16.5902
-39946.69 20.00 1510.7867  1025.1392 34.2400 16.5108
-39946.69 30.00 1510.3225  1025.2239 34.2309 16.3069
-39946.69 40.00 1509.3680  1025.3387 34.2155 15.9479
-39946.69 50.00 1508.0059  1025.4768 34.1953 15.4638
-39946.69 60.00 1506.4333  1025.6240 34.1728 14.9202
-39946.69 70.00 1504.8347  1025.7686 34.1500 14.3764
-39946.69 80.00 1503.3414  1025.9027 34.1278 13.8722
-39946.69 90.00 1502.0094  1026.0233 34.1058 13.4235
-39946.69 100.00 1500.8433  1026.1310 34.0836 13.0298
-39946.69 110.00 1499.8455  1026.2281 34.0631 12.6894
-39946.69 120.00 1498.9854  1026.3185 34.0460 12.3913
-39946.69 130.00 1498.1767  1026.4080 34.0327 12.1092
-39946.69 140.00 1497.3518  1026.5011 34.0237 11.8226
-39946.69 150.00 1496.4924  1026.6061 34.0284 11.5240
-39946.69 160.00 1495.6577  1026.7193 34.0456 11.2299
-39946.69 170.00 1494.8432  1026.8393 34.0730 10.9394
