-50000.00 0.00 55559.75 5400.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 3030.00 1507.2385  1041.8233 34.6957 1.4901
-50000.00 3040.00 1507.3884  1041.8698 34.6963 1.4836
-50000.00 3050.00 1507.5384  1041.9163 34.6968 1.4771
-50000.00 3060.00 1507.6883  1041.9629 34.6974 1.4706
-50000.00 3070.00 1507.8383  1042.0094 34.6980 1.4641
-50000.00 3080.00 1507.9882  1042.0559 34.6985 1.4576
-50000.00 3090.00 1508.1382  1042.1025 34.6991 1.4510
-50000.00 3100.00 1508.2881  1042.1490 34.6997 1.4445
-50000.00 3110.00 1508.4381  1042.1955 34.7002 1.4380
-50000.00 3120.00 1508.5880  1042.2421 34.7008 1.4315
-50000.00 3130.00 1508.7380  1042.2886 34.7013 1.4250
-50000.00 3140.00 1508.8879  1042.3352 34.7019 1.4185
-50000.00 3150.00 1509.0379  1042.3817 34.7025 1.4120
-50000.00 3160.00 1509.1878  1042.4282 34.7030 1.4055
-50000.00 3170.00 1509.3378  1042.4748 34.7036 1.3989
-50000.00 3180.00 1509.4877  1042.5213 34.7042 1.3924
-50000.00 3190.00 1509.6377  1042.5678 34.7047 1.3859
-50000.00 3200.00 1509.7877  1042.6144 34.7053 1.3794
-50000.00 3210.00 1509.9376  1042.6609 34.7059 1.3729
-50000.00 3220.00 1510.0876  1042.7075 34.7064 1.3664
-50000.00 3230.00 1510.2375  1042.7540 34.7070 1.3599
-50000.00 3240.00 1510.3875  1042.8005 34.7075 1.3534
-50000.00 3250.00 1510.5374  1042.8471 34.7081 1.3468
-50000.00 3260.00 1510.6874  1042.8936 34.7087 1.3403
-50000.00 3270.00 1510.8373  1042.9401 34.7092 1.3338
-50000.00 3280.00 1510.9868  1042.9865 34.7097 1.3271
-50000.00 3290.00 1511.1359  1043.0328 34.7100 1.3202
-50000.00 3300.00 1511.2851  1043.0790 34.7103 1.3133
-50000.00 3310.00 1511.4342  1043.1253 34.7107 1.3064
-50000.00 3320.00 1511.5833  1043.1716 34.7110 1.2995
-50000.00 3330.00 1511.7325  1043.2178 34.7113 1.2927
-50000.00 3340.00 1511.8816  1043.2641 34.7117 1.2858
-50000.00 3350.00 1512.0308  1043.3104 34.7120 1.2789
-50000.00 3360.00 1512.1799  1043.3566 34.7123 1.2720
-50000.00 3370.00 1512.3290  1043.4029 34.7126 1.2651
-50000.00 3380.00 1512.4782  1043.4492 34.7130 1.2582
-50000.00 3390.00 1512.6273  1043.4954 34.7133 1.2513
-50000.00 3400.00 1512.7764  1043.5417 34.7136 1.2445
-50000.00 3410.00 1512.9256  1043.5880 34.7140 1.2376
-50000.00 3420.00 1513.0747  1043.6342 34.7143 1.2307
-50000.00 3430.00 1513.2238  1043.6805 34.7146 1.2238
-50000.00 3440.00 1513.3730  1043.7268 34.7150 1.2169
-50000.00 3450.00 1513.5221  1043.7730 34.7153 1.2100
-50000.00 3460.00 1513.6712  1043.8193 34.7156 1.2031
-50000.00 3470.00 1513.8204  1043.8656 34.7160 1.1963
-50000.00 3480.00 1513.9695  1043.9118 34.7163 1.1894
-50000.00 3490.00 1514.1186  1043.9581 34.7166 1.1825
-50000.00 3500.00 1514.2678  1044.0044 34.7169 1.1756
-50000.00 3510.00 1514.4169  1044.0506 34.7173 1.1687
-50000.00 3520.00 1514.5661  1044.0969 34.7176 1.1618
-50000.00 3530.00 1514.7152  1044.1432 34.7179 1.1549
-50000.00 3540.00 1514.8643  1044.1894 34.7183 1.1481
-50000.00 3550.00 1515.0135  1044.2357 34.7186 1.1412
-50000.00 3560.00 1515.1626  1044.2820 34.7189 1.1343
-50000.00 3570.00 1515.3117  1044.3282 34.7193 1.1274
-50000.00 3580.00 1515.4609  1044.3745 34.7196 1.1205
-50000.00 3590.00 1515.6136  1044.4204 34.7197 1.1142
-50000.00 3600.00 1515.7669  1044.4662 34.7198 1.1081
-50000.00 3610.00 1515.9202  1044.5120 34.7199 1.1019
-50000.00 3620.00 1516.0735  1044.5578 34.7200 1.0957
-50000.00 3630.00 1516.2267  1044.6036 34.7200 1.0895
-50000.00 3640.00 1516.3800  1044.6494 34.7201 1.0834
-50000.00 3650.00 1516.5333  1044.6952 34.7202 1.0772
-50000.00 3660.00 1516.6866  1044.7410 34.7203 1.0710
-50000.00 3670.00 1516.8398  1044.7868 34.7204 1.0648
-50000.00 3680.00 1516.9931  1044.8326 34.7204 1.0586
-50000.00 3690.00 1517.1464  1044.8784 34.7205 1.0525
-50000.00 3700.00 1517.2997  1044.9242 34.7206 1.0463
-50000.00 3710.00 1517.4529  1044.9700 34.7207 1.0401
-50000.00 3720.00 1517.6062  1045.0158 34.7208 1.0339
-50000.00 3730.00 1517.7595  1045.0616 34.7208 1.0278
-50000.00 3740.00 1517.9128  1045.1074 34.7209 1.0216
-50000.00 3750.00 1518.0660  1045.1532 34.7210 1.0154
-50000.00 3760.00 1518.2193  1045.1990 34.7211 1.0092
-50000.00 3770.00 1518.3726  1045.2448 34.7212 1.0030
-50000.00 3780.00 1518.5259  1045.2906 34.7212 0.9969
-50000.00 3790.00 1518.6791  1045.3364 34.7213 0.9907
-50000.00 3800.00 1518.8324  1045.3822 34.7214 0.9845
-50000.00 3810.00 1518.9857  1045.4280 34.7215 0.9783
-50000.00 3820.00 1519.1390  1045.4738 34.7216 0.9721
-50000.00 3830.00 1519.2922  1045.5196 34.7217 0.9660
-50000.00 3840.00 1519.4455  1045.5654 34.7217 0.9598
-50000.00 3850.00 1519.5988  1045.6112 34.7218 0.9536
-50000.00 3860.00 1519.7521  1045.6570 34.7219 0.9474
-50000.00 3870.00 1519.9054  1045.7028 34.7220 0.9413
-50000.00 3880.00 1520.0586  1045.7487 34.7221 0.9351
-50000.00 3890.00 1520.2119  1045.7945 34.7221 0.9289
-50000.00 3900.00 1520.3652  1045.8403 34.7222 0.9227
-50000.00 3910.00 1520.5185  1045.8861 34.7223 0.9165
-50000.00 3920.00 1520.6785  1045.9314 34.7223 0.9116
-50000.00 3930.00 1520.8396  1045.9767 34.7222 0.9069
-50000.00 3940.00 1521.0006  1046.0219 34.7221 0.9022
-50000.00 3950.00 1521.1616  1046.0672 34.7221 0.8975
-50000.00 3960.00 1521.3227  1046.1125 34.7220 0.8927
-50000.00 3970.00 1521.4837  1046.1578 34.7220 0.8880
-50000.00 3980.00 1521.6448  1046.2030 34.7219 0.8833
-50000.00 3990.00 1521.8058  1046.2483 34.7219 0.8786
-50000.00 4000.00 1521.9668  1046.2936 34.7218 0.8738
-50000.00 4010.00 1522.1279  1046.3388 34.7218 0.8691
-50000.00 4020.00 1522.2889  1046.3841 34.7217 0.8644
