-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1990.00 1491.2260  1036.9588 34.6302 2.0217
-50000.00 2000.00 1491.3667  1037.0064 34.6311 2.0140
-50000.00 2010.00 1491.5074  1037.0539 34.6320 2.0063
-50000.00 2020.00 1491.6480  1037.1015 34.6329 1.9987
-50000.00 2030.00 1491.7887  1037.1490 34.6338 1.9910
-50000.00 2040.00 1491.9294  1037.1966 34.6346 1.9834
-50000.00 2050.00 1492.0701  1037.2441 34.6355 1.9757
-50000.00 2060.00 1492.2108  1037.2917 34.6364 1.9681
-50000.00 2070.00 1492.3515  1037.3392 34.6373 1.9604
-50000.00 2080.00 1492.4922  1037.3868 34.6381 1.9528
-50000.00 2090.00 1492.6363  1037.4340 34.6389 1.9458
-50000.00 2100.00 1492.7827  1037.4812 34.6395 1.9394
-50000.00 2110.00 1492.9290  1037.5283 34.6402 1.9329
-50000.00 2120.00 1493.0754  1037.5754 34.6408 1.9264
-50000.00 2130.00 1493.2218  1037.6225 34.6414 1.9200
-50000.00 2140.00 1493.3681  1037.6696 34.6421 1.9135
-50000.00 2150.00 1493.5145  1037.7167 34.6427 1.9070
-50000.00 2160.00 1493.6608  1037.7638 34.6434 1.9006
-50000.00 2170.00 1493.8072  1037.8109 34.6440 1.8941
-50000.00 2180.00 1493.9535  1037.8580 34.6447 1.8877
-50000.00 2190.00 1494.0999  1037.9052 34.6453 1.8812
-50000.00 2200.00 1494.2463  1037.9523 34.6459 1.8747
-50000.00 2210.00 1494.3926  1037.9994 34.6466 1.8683
-50000.00 2220.00 1494.5390  1038.0465 34.6472 1.8618
-50000.00 2230.00 1494.6853  1038.0936 34.6479 1.8553
-50000.00 2240.00 1494.8317  1038.1407 34.6485 1.8489
-50000.00 2250.00 1494.9781  1038.1878 34.6491 1.8424
-50000.00 2260.00 1495.1244  1038.2349 34.6498 1.8359
-50000.00 2270.00 1495.2708  1038.2820 34.6504 1.8295
-50000.00 2280.00 1495.4188  1038.3290 34.6510 1.8233
-50000.00 2290.00 1495.5694  1038.3758 34.6515 1.8177
-50000.00 2300.00 1495.7201  1038.4225 34.6519 1.8121
-50000.00 2310.00 1495.8708  1038.4693 34.6524 1.8064
-50000.00 2320.00 1496.0215  1038.5160 34.6529 1.8008
-50000.00 2330.00 1496.1721  1038.5628 34.6534 1.7952
-50000.00 2340.00 1496.3228  1038.6095 34.6538 1.7896
-50000.00 2350.00 1496.4735  1038.6563 34.6543 1.7839
-50000.00 2360.00 1496.6241  1038.7030 34.6548 1.7783
-50000.00 2370.00 1496.7748  1038.7498 34.6553 1.7727
-50000.00 2380.00 1496.9255  1038.7966 34.6557 1.7671
-50000.00 2390.00 1497.0762  1038.8433 34.6562 1.7614
-50000.00 2400.00 1497.2268  1038.8901 34.6567 1.7558
-50000.00 2410.00 1497.3775  1038.9368 34.6572 1.7502
-50000.00 2420.00 1497.5282  1038.9836 34.6576 1.7445
-50000.00 2430.00 1497.6788  1039.0303 34.6581 1.7389
