-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 2530.00 1499.0419  1039.4978 34.6645 1.6554
-50000.00 2540.00 1499.1929  1039.5442 34.6647 1.6497
-50000.00 2550.00 1499.3440  1039.5907 34.6650 1.6441
-50000.00 2560.00 1499.4950  1039.6371 34.6653 1.6384
-50000.00 2570.00 1499.6460  1039.6836 34.6656 1.6328
-50000.00 2580.00 1499.7971  1039.7300 34.6658 1.6271
-50000.00 2590.00 1499.9481  1039.7764 34.6661 1.6215
-50000.00 2600.00 1500.0991  1039.8229 34.6664 1.6158
-50000.00 2610.00 1500.2502  1039.8693 34.6666 1.6101
-50000.00 2620.00 1500.4012  1039.9158 34.6669 1.6045
-50000.00 2630.00 1500.5522  1039.9622 34.6672 1.5988
-50000.00 2640.00 1500.7033  1040.0087 34.6675 1.5932
-50000.00 2650.00 1500.8543  1040.0551 34.6677 1.5875
-50000.00 2660.00 1501.0053  1040.1015 34.6680 1.5819
-50000.00 2670.00 1501.1564  1040.1480 34.6683 1.5762
-50000.00 2680.00 1501.3074  1040.1944 34.6686 1.5706
-50000.00 2690.00 1501.4584  1040.2409 34.6688 1.5649
-50000.00 2700.00 1501.6095  1040.2873 34.6691 1.5593
-50000.00 2710.00 1501.7605  1040.3338 34.6694 1.5536
-50000.00 2720.00 1501.9115  1040.3802 34.6696 1.5479
-50000.00 2730.00 1502.0630  1040.4266 34.6699 1.5424
-50000.00 2740.00 1502.2194  1040.4727 34.6701 1.5377
-50000.00 2750.00 1502.3759  1040.5189 34.6704 1.5330
-50000.00 2760.00 1502.5323  1040.5650 34.6706 1.5284
-50000.00 2770.00 1502.6887  1040.6111 34.6708 1.5237
-50000.00 2780.00 1502.8452  1040.6572 34.6711 1.5191
-50000.00 2790.00 1503.0016  1040.7033 34.6713 1.5144
-50000.00 2800.00 1503.1581  1040.7495 34.6715 1.5097
-50000.00 2810.00 1503.3145  1040.7956 34.6717 1.5051
-50000.00 2820.00 1503.4709  1040.8417 34.6720 1.5004
-50000.00 2830.00 1503.6274  1040.8878 34.6722 1.4957
-50000.00 2840.00 1503.7838  1040.9339 34.6724 1.4911
-50000.00 2850.00 1503.9403  1040.9801 34.6726 1.4864
-50000.00 2860.00 1504.0967  1041.0262 34.6729 1.4817
-50000.00 2870.00 1504.2531  1041.0723 34.6731 1.4771
-50000.00 2880.00 1504.4096  1041.1184 34.6733 1.4724
-50000.00 2890.00 1504.5660  1041.1646 34.6736 1.4678
-50000.00 2900.00 1504.7225  1041.2107 34.6738 1.4631
-50000.00 2910.00 1504.8789  1041.2568 34.6740 1.4584
-50000.00 2920.00 1505.0354  1041.3029 34.6742 1.4538
-50000.00 2930.00 1505.1918  1041.3490 34.6745 1.4491
-50000.00 2940.00 1505.3482  1041.3952 34.6747 1.4444
-50000.00 2950.00 1505.5047  1041.4413 34.6749 1.4398
-50000.00 2960.00 1505.6611  1041.4874 34.6751 1.4351
-50000.00 2970.00 1505.8176  1041.5335 34.6754 1.4305
-50000.00 2980.00 1505.9740  1041.5796 34.6756 1.4258
-50000.00 2990.00 1506.1304  1041.6258 34.6758 1.4211
-50000.00 3000.00 1506.2909  1041.6716 34.6760 1.4171
-50000.00 3010.00 1506.4515  1041.7174 34.6762 1.4131
-50000.00 3020.00 1506.6120  1041.7633 34.6764 1.4091
-50000.00 3030.00 1506.7726  1041.8091 34.6766 1.4051
-50000.00 3040.00 1506.9331  1041.8549 34.6768 1.4012
-50000.00 3050.00 1507.0937  1041.9008 34.6770 1.3972
-50000.00 3060.00 1507.2543  1041.9466 34.6772 1.3932
-50000.00 3070.00 1507.4148  1041.9925 34.6775 1.3892
-50000.00 3080.00 1507.5754  1042.0383 34.6777 1.3852
-50000.00 3090.00 1507.7359  1042.0841 34.6779 1.3812
-50000.00 3100.00 1507.8965  1042.1300 34.6781 1.3772
-50000.00 3110.00 1508.0570  1042.1758 34.6783 1.3732
-50000.00 3120.00 1508.2176  1042.2216 34.6785 1.3692
-50000.00 3130.00 1508.3782  1042.2675 34.6787 1.3652
-50000.00 3140.00 1508.5387  1042.3133 34.6789 1.3612
-50000.00 3150.00 1508.6993  1042.3591 34.6791 1.3573
-50000.00 3160.00 1508.8598  1042.4050 34.6793 1.3533
-50000.00 3170.00 1509.0204  1042.4508 34.6795 1.3493
-50000.00 3180.00 1509.1810  1042.4967 34.6797 1.3453
-50000.00 3190.00 1509.3415  1042.5425 34.6799 1.3413
-50000.00 3200.00 1509.5021  1042.5883 34.6801 1.3373
-50000.00 3210.00 1509.6626  1042.6342 34.6803 1.3333
-50000.00 3220.00 1509.8232  1042.6800 34.6805 1.3293
-50000.00 3230.00 1509.9838  1042.7258 34.6807 1.3253
-50000.00 3240.00 1510.1443  1042.7717 34.6809 1.3213
-50000.00 3250.00 1510.3049  1042.8175 34.6811 1.3173
-50000.00 3260.00 1510.4654  1042.8633 34.6813 1.3134
-50000.00 3270.00 1510.6260  1042.9092 34.6815 1.3094
-50000.00 3280.00 1510.7882  1042.9549 34.6817 1.3056
-50000.00 3290.00 1510.9517  1043.0005 34.6819 1.3020
-50000.00 3300.00 1511.1151  1043.0460 34.6821 1.2983
-50000.00 3310.00 1511.2785  1043.0916 34.6823 1.2947
-50000.00 3320.00 1511.4420  1043.1372 34.6825 1.2911
-50000.00 3330.00 1511.6054  1043.1828 34.6827 1.2875
-50000.00 3340.00 1511.7689  1043.2284 34.6829 1.2839
-50000.00 3350.00 1511.9323  1043.2740 34.6831 1.2803
-50000.00 3360.00 1512.0958  1043.3196 34.6833 1.2766
-50000.00 3370.00 1512.2592  1043.3652 34.6835 1.2730
-50000.00 3380.00 1512.4226  1043.4108 34.6837 1.2694
-50000.00 3390.00 1512.5861  1043.4563 34.6839 1.2658
-50000.00 3400.00 1512.7495  1043.5019 34.6840 1.2622
-50000.00 3410.00 1512.9130  1043.5475 34.6842 1.2585
-50000.00 3420.00 1513.0764  1043.5931 34.6844 1.2549
-50000.00 3430.00 1513.2399  1043.6387 34.6846 1.2513
-50000.00 3440.00 1513.4033  1043.6843 34.6848 1.2477
-50000.00 3450.00 1513.5668  1043.7299 34.6850 1.2441
-50000.00 3460.00 1513.7302  1043.7755 34.6852 1.2404
-50000.00 3470.00 1513.8936  1043.8210 34.6854 1.2368
-50000.00 3480.00 1514.0571  1043.8666 34.6856 1.2332
-50000.00 3490.00 1514.2205  1043.9122 34.6858 1.2296
-50000.00 3500.00 1514.3840  1043.9578 34.6860 1.2260
-50000.00 3510.00 1514.5474  1044.0034 34.6862 1.2224
-50000.00 3520.00 1514.7109  1044.0490 34.6864 1.2187
-50000.00 3530.00 1514.8743  1044.0946 34.6866 1.2151
-50000.00 3540.00 1515.0377  1044.1402 34.6868 1.2115
-50000.00 3550.00 1515.2012  1044.1857 34.6870 1.2079
-50000.00 3560.00 1515.3646  1044.2313 34.6872 1.2043
-50000.00 3570.00 1515.5281  1044.2769 34.6874 1.2006
-50000.00 3580.00 1515.6915  1044.3225 34.6876 1.1970
-50000.00 3590.00 1515.8565  1044.3679 34.6878 1.1935
-50000.00 3600.00 1516.0218  1044.4133 34.6880 1.1900
-50000.00 3610.00 1516.1870  1044.4587 34.6882 1.1865
-50000.00 3620.00 1516.3522  1044.5041 34.6884 1.1830
-50000.00 3630.00 1516.5175  1044.5494 34.6886 1.1794
-50000.00 3640.00 1516.6827  1044.5948 34.6888 1.1759
-50000.00 3650.00 1516.8479  1044.6402 34.6890 1.1724
-50000.00 3660.00 1517.0132  1044.6856 34.6892 1.1689
-50000.00 3670.00 1517.1784  1044.7310 34.6894 1.1654
-50000.00 3680.00 1517.3436  1044.7763 34.6896 1.1619
-50000.00 3690.00 1517.5089  1044.8217 34.6898 1.1584
-50000.00 3700.00 1517.6741  1044.8671 34.6900 1.1549
-50000.00 3710.00 1517.8393  1044.9125 34.6903 1.1513
-50000.00 3720.00 1518.0046  1044.9578 34.6905 1.1478
-50000.00 3730.00 1518.1698  1045.0032 34.6907 1.1443
-50000.00 3740.00 1518.3350  1045.0486 34.6909 1.1408
-50000.00 3750.00 1518.5003  1045.0940 34.6911 1.1373
-50000.00 3760.00 1518.6655  1045.1394 34.6913 1.1338
-50000.00 3770.00 1518.8307  1045.1847 34.6915 1.1303
-50000.00 3780.00 1518.9960  1045.2301 34.6917 1.1268
-50000.00 3790.00 1519.1612  1045.2755 34.6919 1.1232
-50000.00 3800.00 1519.3265  1045.3209 34.6921 1.1197
-50000.00 3810.00 1519.4917  1045.3663 34.6923 1.1162
-50000.00 3820.00 1519.6569  1045.4116 34.6925 1.1127
-50000.00 3830.00 1519.8222  1045.4570 34.6927 1.1092
-50000.00 3840.00 1519.9874  1045.5024 34.6929 1.1057
-50000.00 3850.00 1520.1526  1045.5478 34.6931 1.1022
-50000.00 3860.00 1520.3179  1045.5932 34.6934 1.0986
-50000.00 3870.00 1520.4831  1045.6385 34.6936 1.0951
-50000.00 3880.00 1520.6483  1045.6839 34.6938 1.0916
-50000.00 3890.00 1520.8136  1045.7293 34.6940 1.0881
-50000.00 3900.00 1520.9788  1045.7747 34.6942 1.0846
-50000.00 3910.00 1521.1440  1045.8200 34.6944 1.0811
-50000.00 3920.00 1521.3125  1045.8651 34.6946 1.0780
-50000.00 3930.00 1521.4815  1045.9102 34.6948 1.0751
-50000.00 3940.00 1521.6505  1045.9553 34.6949 1.0721
-50000.00 3950.00 1521.8195  1046.0003 34.6951 1.0691
