-50000.00 0.00 55559.75 2050.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1940.00 1490.7566  1036.7267 34.6313 2.1047
-50000.00 1950.00 1490.8879  1036.7746 34.6322 2.0949
-50000.00 1960.00 1491.0191  1036.8225 34.6331 2.0851
-50000.00 1970.00 1491.1504  1036.8704 34.6340 2.0753
-50000.00 1980.00 1491.2817  1036.9183 34.6350 2.0654
-50000.00 1990.00 1491.4130  1036.9662 34.6359 2.0556
-50000.00 2000.00 1491.5442  1037.0141 34.6368 2.0458
-50000.00 2010.00 1491.6755  1037.0620 34.6377 2.0359
-50000.00 2020.00 1491.8068  1037.1099 34.6387 2.0261
-50000.00 2030.00 1491.9381  1037.1578 34.6396 2.0163
-50000.00 2040.00 1492.0693  1037.2057 34.6405 2.0064
-50000.00 2050.00 1492.2006  1037.2536 34.6414 1.9966
-44973.35 0.00 1511.6395  1025.0011 34.2898 16.8844
-44973.35 10.00 1511.7147  1025.0516 34.2883 16.8536
-44973.35 20.00 1511.6397  1025.1120 34.2846 16.7740
-44973.35 30.00 1511.1776  1025.1966 34.2748 16.5696
-44973.35 40.00 1510.2288  1025.3110 34.2577 16.2106
-44973.35 50.00 1508.8810  1025.4481 34.2353 15.7285
-44973.35 60.00 1507.3345  1025.5935 34.2102 15.1903
-44973.35 70.00 1505.7733  1025.7358 34.1851 14.6551
-44973.35 80.00 1504.3243  1025.8674 34.1609 14.1617
-44973.35 90.00 1503.0388  1025.9856 34.1372 13.7244
-44973.35 100.00 1501.9098  1026.0913 34.1134 13.3394
-44973.35 110.00 1500.9127  1026.1877 34.0904 12.9974
-44973.35 120.00 1500.0022  1026.2793 34.0697 12.6834
-44973.35 130.00 1499.1080  1026.3713 34.0520 12.3756
-44973.35 140.00 1498.1865  1026.4669 34.0383 12.0605
-44973.35 150.00 1497.2586  1026.5724 34.0380 11.7421
-44973.35 160.00 1496.3769  1026.6847 34.0500 11.4346
-44973.35 170.00 1495.5324  1026.8025 34.0720 11.1360
-44973.35 180.00 1494.8141  1026.9250 34.1091 10.8708
-44973.35 190.00 1494.1356  1027.0489 34.1510 10.6161
-44973.35 200.00 1493.5501  1027.1696 34.1954 10.3883
-44973.35 210.00 1493.0483  1027.2872 34.2422 10.1847
-44973.35 220.00 1492.5464  1027.4048 34.2889 9.9811
-44973.35 230.00 1492.1067  1027.5101 34.3257 9.8003
-44973.35 240.00 1491.6903  1027.6108 34.3588 9.6280
-44973.35 250.00 1491.2738  1027.7115 34.3919 9.4556
-44973.35 260.00 1490.8542  1027.8071 34.4190 9.2852
-44973.35 270.00 1490.4257  1027.8875 34.4288 9.1206
-44973.35 280.00 1489.9971  1027.9679 34.4386 8.9559
-44973.35 290.00 1489.5685  1028.0483 34.4483 8.7913
-44973.35 300.00 1489.1397  1028.1286 34.4580 8.6267
-44973.35 310.00 1488.6758  1028.1955 34.4518 8.4614
-44973.35 320.00 1488.2119  1028.2625 34.4456 8.2961
-44973.35 330.00 1487.7480  1028.3294 34.4394 8.1308
-44973.35 340.00 1487.2840  1028.3964 34.4331 7.9656
-44973.35 350.00 1486.8201  1028.4633 34.4269 7.8003
-44973.35 360.00 1486.4033  1028.5236 34.4168 7.6519
-44973.35 370.00 1485.9899  1028.5834 34.4064 7.5048
-44973.35 380.00 1485.5765  1028.6431 34.3960 7.3576
-44973.35 390.00 1485.1631  1028.7029 34.3856 7.2105
-44973.35 400.00 1484.7497  1028.7627 34.3752 7.0633
-44973.35 410.00 1484.3374  1028.8224 34.3649 6.9164
-44973.35 420.00 1484.0770  1028.8775 34.3571 6.8102
-44973.35 430.00 1483.8165  1028.9326 34.3494 6.7040
-44973.35 440.00 1483.5561  1028.9877 34.3417 6.5978
-44973.35 450.00 1483.2957  1029.0428 34.3340 6.4916
-44973.35 460.00 1483.0352  1029.0978 34.3262 6.3853
-44973.35 470.00 1482.7748  1029.1529 34.3185 6.2791
-44973.35 480.00 1482.5508  1029.2075 34.3119 6.1821
-44973.35 490.00 1482.4347  1029.2605 34.3085 6.1121
-44973.35 500.00 1482.3185  1029.3136 34.3051 6.0422
-44973.35 510.00 1482.2023  1029.3666 34.3017 5.9723
-44973.35 520.00 1482.0861  1029.4197 34.2982 5.9023
-44973.35 530.00 1481.9699  1029.4727 34.2948 5.8324
