-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 2500.00 1498.6646  1039.3600 34.6676 1.6861
-50000.00 2510.00 1498.8214  1039.4063 34.6679 1.6817
-50000.00 2520.00 1498.9782  1039.4526 34.6682 1.6773
-50000.00 2530.00 1499.1350  1039.4989 34.6685 1.6729
-50000.00 2540.00 1499.2918  1039.5452 34.6688 1.6686
-50000.00 2550.00 1499.4486  1039.5915 34.6691 1.6642
-50000.00 2560.00 1499.6054  1039.6378 34.6694 1.6598
-50000.00 2570.00 1499.7622  1039.6841 34.6697 1.6554
-50000.00 2580.00 1499.9190  1039.7304 34.6700 1.6510
-50000.00 2590.00 1500.0758  1039.7766 34.6703 1.6466
-50000.00 2600.00 1500.2326  1039.8229 34.6706 1.6422
-50000.00 2610.00 1500.3894  1039.8692 34.6709 1.6378
-50000.00 2620.00 1500.5462  1039.9155 34.6712 1.6334
-50000.00 2630.00 1500.7030  1039.9618 34.6715 1.6290
-50000.00 2640.00 1500.8598  1040.0081 34.6718 1.6246
-50000.00 2650.00 1501.0166  1040.0544 34.6721 1.6202
-50000.00 2660.00 1501.1734  1040.1007 34.6724 1.6158
-50000.00 2670.00 1501.3302  1040.1470 34.6727 1.6114
-50000.00 2680.00 1501.4870  1040.1933 34.6730 1.6070
-50000.00 2690.00 1501.6438  1040.2396 34.6733 1.6026
-50000.00 2700.00 1501.8006  1040.2859 34.6736 1.5982
-50000.00 2710.00 1501.9574  1040.3322 34.6739 1.5939
-50000.00 2720.00 1502.1142  1040.3785 34.6743 1.5895
-50000.00 2730.00 1502.2711  1040.4248 34.6745 1.5851
-50000.00 2740.00 1502.4293  1040.4709 34.6748 1.5808
-50000.00 2750.00 1502.5875  1040.5170 34.6750 1.5765
-50000.00 2760.00 1502.7457  1040.5630 34.6753 1.5722
-50000.00 2770.00 1502.9039  1040.6091 34.6755 1.5679
-50000.00 2780.00 1503.0621  1040.6552 34.6757 1.5636
-50000.00 2790.00 1503.2203  1040.7013 34.6760 1.5593
-50000.00 2800.00 1503.3785  1040.7474 34.6762 1.5550
-50000.00 2810.00 1503.5367  1040.7934 34.6764 1.5507
-50000.00 2820.00 1503.6949  1040.8395 34.6767 1.5464
-50000.00 2830.00 1503.8531  1040.8856 34.6769 1.5422
-50000.00 2840.00 1504.0113  1040.9317 34.6771 1.5379
-50000.00 2850.00 1504.1695  1040.9778 34.6774 1.5336
-50000.00 2860.00 1504.3277  1041.0238 34.6776 1.5293
-50000.00 2870.00 1504.4860  1041.0699 34.6779 1.5250
-50000.00 2880.00 1504.6442  1041.1160 34.6781 1.5207
-50000.00 2890.00 1504.8024  1041.1621 34.6783 1.5164
-50000.00 2900.00 1504.9606  1041.2082 34.6786 1.5121
-50000.00 2910.00 1505.1188  1041.2542 34.6788 1.5078
-50000.00 2920.00 1505.2770  1041.3003 34.6790 1.5035
-50000.00 2930.00 1505.4352  1041.3464 34.6793 1.4992
-50000.00 2940.00 1505.5934  1041.3925 34.6795 1.4950
-50000.00 2950.00 1505.7516  1041.4386 34.6797 1.4907
-50000.00 2960.00 1505.9098  1041.4847 34.6800 1.4864
-50000.00 2970.00 1506.0680  1041.5307 34.6802 1.4821
-50000.00 2980.00 1506.2262  1041.5768 34.6805 1.4778
-50000.00 2990.00 1506.3844  1041.6229 34.6807 1.4735
-50000.00 3000.00 1506.5448  1041.6687 34.6809 1.4695
-50000.00 3010.00 1506.7052  1041.7146 34.6811 1.4654
-50000.00 3020.00 1506.8657  1041.7604 34.6813 1.4614
-50000.00 3030.00 1507.0261  1041.8063 34.6814 1.4574
-50000.00 3040.00 1507.1866  1041.8521 34.6816 1.4533
-50000.00 3050.00 1507.3470  1041.8979 34.6818 1.4493
-50000.00 3060.00 1507.5074  1041.9438 34.6820 1.4453
-50000.00 3070.00 1507.6679  1041.9896 34.6822 1.4412
-50000.00 3080.00 1507.8283  1042.0355 34.6824 1.4372
-50000.00 3090.00 1507.9887  1042.0813 34.6826 1.4332
-50000.00 3100.00 1508.1492  1042.1271 34.6827 1.4291
-50000.00 3110.00 1508.3096  1042.1730 34.6829 1.4251
-50000.00 3120.00 1508.4700  1042.2188 34.6831 1.4211
-50000.00 3130.00 1508.6305  1042.2647 34.6833 1.4170
-50000.00 3140.00 1508.7909  1042.3105 34.6835 1.4130
-50000.00 3150.00 1508.9513  1042.3563 34.6837 1.4090
-50000.00 3160.00 1509.1118  1042.4022 34.6839 1.4049
-50000.00 3170.00 1509.2722  1042.4480 34.6840 1.4009
-50000.00 3180.00 1509.4326  1042.4939 34.6842 1.3969
-50000.00 3190.00 1509.5931  1042.5397 34.6844 1.3928
-50000.00 3200.00 1509.7535  1042.5855 34.6846 1.3888
-50000.00 3210.00 1509.9139  1042.6314 34.6848 1.3848
-50000.00 3220.00 1510.0744  1042.6772 34.6850 1.3807
-50000.00 3230.00 1510.2348  1042.7231 34.6852 1.3767
-50000.00 3240.00 1510.3952  1042.7689 34.6854 1.3727
-50000.00 3250.00 1510.5557  1042.8147 34.6855 1.3686
-50000.00 3260.00 1510.7161  1042.8606 34.6857 1.3646
-50000.00 3270.00 1510.8766  1042.9064 34.6859 1.3606
-50000.00 3280.00 1511.0389  1042.9521 34.6861 1.3568
-50000.00 3290.00 1511.2027  1042.9976 34.6862 1.3533
-50000.00 3300.00 1511.3665  1043.0432 34.6864 1.3497
-50000.00 3310.00 1511.5304  1043.0887 34.6865 1.3462
-50000.00 3320.00 1511.6942  1043.1343 34.6867 1.3427
-50000.00 3330.00 1511.8580  1043.1799 34.6868 1.3391
-50000.00 3340.00 1512.0218  1043.2254 34.6870 1.3356
-50000.00 3350.00 1512.1856  1043.2710 34.6871 1.3320
-50000.00 3360.00 1512.3494  1043.3165 34.6873 1.3285
-50000.00 3370.00 1512.5132  1043.3621 34.6874 1.3249
-50000.00 3380.00 1512.6770  1043.4076 34.6876 1.3214
-50000.00 3390.00 1512.8408  1043.4532 34.6877 1.3179
-50000.00 3400.00 1513.0046  1043.4987 34.6879 1.3143
-50000.00 3410.00 1513.1684  1043.5443 34.6880 1.3108
-50000.00 3420.00 1513.3322  1043.5898 34.6882 1.3072
-50000.00 3430.00 1513.4960  1043.6354 34.6883 1.3037
-50000.00 3440.00 1513.6599  1043.6809 34.6885 1.3001
-50000.00 3450.00 1513.8237  1043.7265 34.6886 1.2966
-50000.00 3460.00 1513.9875  1043.7721 34.6888 1.2931
-50000.00 3470.00 1514.1513  1043.8176 34.6890 1.2895
-50000.00 3480.00 1514.3151  1043.8632 34.6891 1.2860
-50000.00 3490.00 1514.4789  1043.9087 34.6893 1.2824
-50000.00 3500.00 1514.6427  1043.9543 34.6894 1.2789
-50000.00 3510.00 1514.8065  1043.9998 34.6896 1.2753
-50000.00 3520.00 1514.9703  1044.0454 34.6897 1.2718
-50000.00 3530.00 1515.1341  1044.0909 34.6899 1.2683
-50000.00 3540.00 1515.2979  1044.1365 34.6900 1.2647
-50000.00 3550.00 1515.4617  1044.1820 34.6902 1.2612
-50000.00 3560.00 1515.6256  1044.2276 34.6903 1.2576
-50000.00 3570.00 1515.7894  1044.2731 34.6905 1.2541
-50000.00 3580.00 1515.9532  1044.3187 34.6906 1.2505
-50000.00 3590.00 1516.1249  1044.3638 34.6907 1.2485
-50000.00 3600.00 1516.2978  1044.4088 34.6908 1.2467
-50000.00 3610.00 1516.4706  1044.4537 34.6908 1.2449
-50000.00 3620.00 1516.6435  1044.4987 34.6909 1.2431
-50000.00 3630.00 1516.8163  1044.5437 34.6909 1.2414
